date,name,price,source,price_clean,category
2025-02-27,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-02-27,Açúcar Refinado Carrefour 1kg,"R$ 5,09",https://mercado.carrefour.com.br/busca/acucar,5.09,acucar
2025-02-27,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-02-27,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-02-27,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-02-27,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19,acucar
2025-02-27,Açúcar Cristal Carrefour 1 kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-02-27,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29,acucar
2025-02-27,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-02-27,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-02-27,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
2025-02-28,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99,acucar
2025-02-28,Açúcar Refinado Carrefour 1kg,"R$ 5,09",https://mercado.carrefour.com.br/busca/acucar,5.09,acucar
2025-02-28,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-02-28,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39,acucar
2025-02-28,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59,acucar
2025-02-28,Açúcar Demerara União Naturale 1kg,"R$ 8,09",https://mercado.carrefour.com.br/busca/acucar,8.09,acucar
2025-02-28,Açúcar Cristal Carrefour 1 kg,"R$ 4,95",https://mercado.carrefour.com.br/busca/acucar,4.95,acucar
2025-02-28,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,45",https://mercado.carrefour.com.br/busca/acucar,7.45,acucar
2025-02-28,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99,acucar
2025-02-28,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49,acucar
2025-02-28,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09,acucar
